timestamp,type,count
1621563968,FN,696
1621563968,TP,54
1621563968,FP,62
1621563968,TN,842
1621563969,FP,143
1621563969,TP,136
1621563969,TN,1847
1621563969,FN,1556
1621563970,FN,2172
1621563970,TP,143
1621563970,FP,176
1621563970,TN,2557
1621563971,TN,1765
1621563971,FN,1540
1621563971,FP,112
1621563971,TP,141
1621563972,FP,120
1621563972,TP,111
1621563972,FN,1425
1621563972,TN,1773
1621563973,FN,1473
1621563973,TN,1649
1621563973,TP,120
1621563973,FP,124
1621563974,TN,1701
1621563974,FN,1452
1621563974,TP,119
1621563974,FP,106
1621563975,TN,1748
1621563975,FN,1517
1621563975,TP,118
1621563975,FP,107
1621563976,TN,1738
1621563976,FN,1578
1621563976,TP,122
1621563976,FP,104
1621563977,TN,1760
1621563977,FP,119
1621563977,TP,105
1621563977,FN,1537
1621563978,TN,1713
1621563978,FP,129
1621563978,TP,122
1621563978,FN,1412
1621563979,FN,1401
1621563979,TN,1747
1621563979,TP,116
1621563979,FP,132
1621563980,FN,1464
1621563980,TN,1740
1621563980,TP,126
1621563980,FP,116
1621563981,TP,108
1621563981,FP,142
1621563981,FN,1474
1621563981,TN,1766
1621563982,TN,1797
1621563982,FP,120
1621563982,TP,112
1621563982,FN,1474
1621563983,TN,1719
1621563983,FP,118
1621563983,TP,109
1621563983,FN,1471
1621563984,TN,1819
1621563984,TP,120
1621563984,FP,146
1621563984,FN,1519
1621563985,TN,1754
1621563985,TP,141
1621563985,FP,129
1621563985,FN,1437
1621563986,TN,1764
1621563986,TP,125
1621563986,FP,120
1621563986,FN,1380
1621563987,TP,109
1621563987,FP,120
1621563987,TN,1691
1621563987,FN,1463
1621563988,TN,1718
1621563988,TP,107
1621563988,FP,115
1621563988,FN,1417
1621563989,TP,101
1621563989,FP,116
1621563989,FN,1459
1621563989,TN,1677
1621563990,FN,1461
1621563990,FP,130
1621563990,TP,134
1621563990,TN,1754
1621563991,FN,1448
1621563991,TN,1741
1621563991,FP,131
1621563991,TP,116
1621563992,TN,1762
1621563992,FN,1491
1621563992,FP,120
1621563992,TP,116
1621563993,TP,135
1621563993,FP,110
1621563993,TN,1741
1621563993,FN,1470
1621563994,TP,129
1621563994,FP,132
1621563994,FN,1485
1621563994,TN,1808
1621563995,TP,113
1621563995,FP,151
1621563995,TN,1782
1621563995,FN,1483
1621563996,TN,1696
1621563996,FN,1475
1621563996,FP,136
1621563996,TP,125
1621563997,TP,112
1621563997,FP,116
1621563997,FN,1517
1621563997,TN,1726
1621563998,TN,1709
1621563998,FN,1485
1621563998,FP,109
1621563998,TP,109
1621563999,TP,128
1621563999,FP,113
1621563999,TN,1830
1621563999,FN,1505
1621564000,TN,1785
1621564000,FP,121
1621564000,TP,112
1621564000,FN,1532
1621564001,TN,1771
1621564001,FP,129
1621564001,TP,128
1621564001,FN,1544
1621564002,TN,1770
1621564002,FP,132
1621564002,TP,111
1621564002,FN,1452
1621564003,TN,1717
1621564003,TP,127
1621564003,FP,127
1621564003,FN,1449
1621564004,TN,1688
1621564004,TP,119
1621564004,FP,116
1621564004,FN,1505
1621564005,TP,141
1621564005,FP,123
1621564005,TN,1776
1621564005,FN,1438
1621564006,FP,160
1621564006,TP,114
1621564006,TN,1837
1621564006,FN,1476
1621564007,FP,114
1621564007,TP,124
1621564007,TN,1753
1621564007,FN,1475
1621564008,TP,115
1621564008,FP,125
1621564008,TN,1799
1621564008,FN,1433
1621564009,TN,1718
1621564009,TP,127
1621564009,FP,130
1621564009,FN,1428
1621564010,TP,122
1621564010,FP,131
1621564010,TN,1695
1621564010,FN,1454
1621564011,TN,1766
1621564011,FP,130
1621564011,TP,108
1621564011,FN,1504
1621564012,TP,121
1621564012,FP,118
1621564012,TN,1820
1621564012,FN,1443
1621564013,TP,122
1621564013,FP,123
1621564013,FN,1475
1621564013,TN,1723
1621564014,TN,1786
1621564014,FN,1521
1621564014,FP,124
1621564014,TP,133
1621564015,TN,1808
1621564015,FN,1446
1621564015,FP,133
1621564015,TP,127
1621564016,TN,1738
1621564016,FP,121
1621564016,TP,112
1621564016,FN,1547
1621564017,FN,1409
1621564017,TN,1712
1621564017,FP,128
1621564017,TP,99
1621564018,FP,121
1621564018,TP,124
1621564018,TN,1677
1621564018,FN,1473
1621564019,TN,1749
1621564019,TP,119
1621564019,FP,129
1621564019,FN,1514
1621564020,FN,1446
1621564020,TN,1754
1621564020,FP,118
1621564020,TP,130
1621564021,TN,1778
1621564021,FN,1515
1621564021,TP,138
1621564021,FP,123
1621564022,TN,1650
1621564022,FN,1445
1621564022,FP,152
1621564022,TP,107
1621564023,TN,1751
1621564023,FN,1481
1621564023,FP,150
1621564023,TP,122
1621564024,TN,1716
1621564024,FN,1494
1621564024,FP,126
1621564024,TP,118
1621564025,TN,1816
1621564025,FN,1481
1621564025,TP,123
1621564025,FP,121
1621564026,TN,1694
1621564026,FN,1480
1621564026,TP,136
1621564026,FP,139
1621564027,TN,1689
1621564027,FN,1479
1621564027,TP,115
1621564027,FP,113
1621564028,TN,1798
1621564028,FN,1528
1621564028,FP,119
1621564028,TP,118
1621564029,FN,1521
1621564029,TN,1799
1621564029,TP,149
1621564029,FP,132
1621564030,FN,1452
1621564030,TN,1743
1621564030,TP,139
1621564030,FP,105
1621564031,TN,1851
1621564031,FN,1461
1621564031,FP,111
1621564031,TP,127
1621564032,TN,1721
1621564032,FN,1480
1621564032,TP,116
1621564032,FP,132
1621564033,FN,1496
1621564033,TN,1871
1621564033,FP,159
1621564033,TP,146
1621564034,TN,1749
1621564034,FN,1425
1621564034,TP,124
1621564034,FP,91
1621564035,FN,1485
1621564035,TN,1800
1621564035,TP,112
1621564035,FP,132
1621564036,TN,1839
1621564036,FN,1513
1621564036,FP,122
1621564036,TP,121
1621564037,TN,1858
1621564037,FN,1530
1621564037,FP,122
1621564037,TP,124
1621564038,FN,1520
1621564038,TN,1783
1621564038,TP,125
1621564038,FP,104
1621564039,FN,1570
1621564039,TN,1669
1621564039,FP,141
1621564039,TP,121
1621564040,FN,1470
1621564040,TN,1798
1621564040,FP,132
1621564040,TP,107
1621564041,TN,1799
1621564041,FN,1523
1621564041,FP,131
1621564041,TP,109
1621564042,TN,1768
1621564042,FN,1492
1621564042,FP,134
1621564042,TP,126
1621564043,TN,1816
1621564043,FN,1537
1621564043,TP,101
1621564043,FP,140
1621564044,TN,1755
1621564044,FN,1515
1621564044,FP,125
1621564044,TP,118
1621564045,TN,1886
1621564045,FN,1526
1621564045,FP,108
1621564045,TP,107
1621564046,TN,1749
1621564046,FN,1479
1621564046,TP,134
1621564046,FP,135
1621564047,TN,1776
1621564047,FN,1559
1621564047,FP,104
1621564047,TP,130
1621564048,FN,1520
1621564048,TN,1825
1621564048,TP,144
1621564048,FP,121
1621564049,FN,1512
1621564049,TN,1759
1621564049,FP,126
1621564049,TP,115
1621564050,FN,1489
1621564050,TN,1724
1621564050,TP,121
1621564050,FP,121
1621564051,FN,1506
1621564051,TN,1797
1621564051,TP,133
1621564051,FP,118
1621564052,FN,1469
1621564052,TN,1839
1621564052,TP,142
1621564052,FP,130
1621564053,FN,1553
1621564053,TN,1828
1621564053,TP,128
1621564053,FP,140
1621564054,FN,1549
1621564054,TN,1803
1621564054,TP,118
1621564054,FP,147
1621564055,FN,1518
1621564055,TN,1850
1621564055,FP,127
1621564055,TP,96
1621564056,FN,1468
1621564056,TN,1766
1621564056,FP,139
1621564056,TP,149
1621564057,FN,1468
1621564057,TN,1816
1621564057,TP,139
1621564057,FP,137
1621564058,FN,1464
1621564058,TN,1845
1621564058,FP,142
1621564058,TP,138
1621564059,FN,1536
1621564059,TN,1797
1621564059,FP,128
1621564059,TP,135
1621564060,FN,1472
1621564060,TN,1803
1621564060,FP,123
1621564060,TP,131
1621564061,FN,1557
1621564061,TN,1759
1621564061,TP,116
1621564061,FP,121
1621564062,FN,1477
1621564062,TN,1803
1621564062,TP,137
1621564062,FP,123
1621564063,FN,1529
1621564063,TN,1817
1621564063,TP,107
1621564063,FP,142
1621564064,FP,122
1621564064,TP,131
1621564064,FN,1535
1621564064,TN,1828
1621564065,FP,137
1621564065,TP,130
1621564065,FN,1594
1621564065,TN,1787
1621564066,TP,127
1621564066,FP,123
1621564066,FN,1523
1621564066,TN,1880
1621564067,TP,147
1621564067,FP,141
1621564067,FN,1455
1621564067,TN,1826
1621564068,FP,129
1621564068,TP,119
1621564068,FN,1551
1621564068,TN,1812
1621564069,TP,123
1621564069,FP,134
1621564069,FN,1564
1621564069,TN,1905
1621564070,FP,110
1621564070,TP,146
1621564070,FN,1556
1621564070,TN,1820
1621564071,TP,110
1621564071,FP,149
1621564071,FN,1502
1621564071,TN,1870
1621564072,TP,122
1621564072,FP,140
1621564072,FN,1582
1621564072,TN,1853
1621564073,TN,1889
1621564073,FP,142
1621564073,TP,139
1621564073,FN,1579
1621564074,FN,1610
1621564074,TN,1882
1621564074,TP,115
1621564074,FP,138
1621564075,FN,1523
1621564075,TN,1820
1621564075,TP,114
1621564075,FP,127
1621564076,FN,1506
1621564076,TN,1867
1621564076,FP,148
1621564076,TP,123
1621564077,FN,1593
1621564077,TN,1918
1621564077,TP,126
1621564077,FP,119
1621564078,FN,1590
1621564078,TN,1837
1621564078,TP,113
1621564078,FP,130
1621564079,FN,1525
1621564079,TN,1871
1621564079,FP,119
1621564079,TP,160
1621564080,FN,1590
1621564080,TN,1930
1621564080,FP,132
1621564080,TP,118
1621564081,FN,1583
1621564081,TN,1946
1621564081,TP,132
1621564081,FP,132
1621564082,FN,1595
1621564082,TN,1904
1621564082,TP,146
1621564082,FP,130
1621564083,FN,1561
1621564083,TN,1913
1621564083,TP,135
1621564083,FP,114
1621564084,TN,1878
