timestamp,type,count
1621562001,FP,4
1621562001,TP,5
1621562001,FN,93
1621562001,TN,91
1621562002,TN,1687
1621562002,FP,130
1621562002,TP,121
1621562002,FN,1461
1621562003,FN,1911
1621562003,TN,2405
1621562003,FP,182
1621562003,TP,148
1621562004,TN,1903
1621562004,FP,114
1621562004,TP,134
1621562004,FN,1685
1621562005,FP,128
1621562005,TP,115
1621562005,TN,1718
1621562005,FN,1405
1621562006,FN,1413
1621562006,TN,1611
1621562006,FP,106
1621562006,TP,105
1621562007,FN,1310
1621562007,FP,113
1621562007,TP,130
1621562007,TN,1614
1621562008,TP,128
1621562008,FP,124
1621562008,TN,1956
1621562008,FN,1802
1621562009,TN,1662
1621562009,TP,118
1621562009,FP,103
1621562009,FN,1526
1621562010,TP,104
1621562010,FP,102
1621562010,FN,1308
1621562010,TN,1784
1621562011,TP,116
1621562011,FP,116
1621562011,TN,1746
1621562011,FN,1742
1621562012,FN,1256
1621562012,TN,1668
1621562012,FP,135
1621562012,TP,118
1621562013,TN,1875
1621562013,FP,141
1621562013,TP,112
1621562013,FN,1602
1621562014,FP,124
1621562014,TP,128
1621562014,TN,1694
1621562014,FN,1390
1621562015,TN,1657
1621562015,FP,142
1621562015,TP,123
1621562015,FN,1393
1621562016,TP,96
1621562016,FP,101
1621562016,FN,1532
1621562016,TN,1812
1621562017,FP,133
1621562017,TP,116
1621562017,FN,1511
1621562017,TN,1863
1621562018,TP,143
1621562018,FP,155
1621562018,FN,1222
1621562018,TN,1616
1621562019,FP,133
1621562019,TP,139
1621562019,TN,1768
1621562019,FN,1509
1621562020,FN,1485
1621562020,TP,110
1621562020,FP,96
1621562020,TN,1762
1621562021,FP,116
1621562021,TP,103
1621562021,FN,1471
1621562021,TN,1691
1621562022,TN,1937
1621562022,TP,104
1621562022,FP,130
1621562022,FN,1644
1621562023,TN,1497
1621562023,FP,117
1621562023,TP,130
1621562023,FN,1288
1621562024,TP,113
1621562024,FP,123
1621562024,TN,1907
1621562024,FN,1432
1621562025,TP,112
1621562025,FP,142
1621562025,TN,1621
1621562025,FN,1439
1621562026,TN,1598
1621562026,FP,105
1621562026,TP,136
1621562026,FN,1569
1621562027,TN,1807
1621562027,FP,119
1621562027,TP,113
1621562027,FN,1273
1621562028,TN,2050
1621562028,FP,155
1621562028,TP,136
1621562028,FN,1457
1621562029,TN,1768
1621562029,TP,122
1621562029,FP,141
1621562029,FN,1734
1621562030,TN,1498
1621562030,FP,122
1621562030,TP,117
1621562030,FN,1609
1621562031,TP,119
1621562031,FP,102
1621562031,TN,1822
1621562031,FN,1198
1621562032,TP,107
1621562032,FP,115
1621562032,TN,1554
1621562032,FN,1783
1621562033,FP,114
1621562033,TP,127
1621562033,TN,1918
1621562033,FN,1439
1621562034,FP,124
1621562034,TP,108
1621562034,TN,1652
1621562034,FN,1335
1621562035,TP,107
1621562035,FP,120
1621562035,TN,1873
1621562035,FN,1466
1621562036,TP,129
1621562036,FP,125
1621562036,TN,1636
1621562036,FN,1459
1621562037,TN,1797
1621562037,FP,139
1621562037,TP,127
1621562037,FN,1532
1621562038,TN,1679
1621562038,TP,110
1621562038,FP,124
1621562038,FN,1457
1621562039,TP,130
1621562039,FP,109
1621562039,TN,1845
1621562039,FN,1353
1621562040,FP,153
1621562040,TP,131
1621562040,TN,1764
1621562040,FN,1558
1621562041,TP,110
1621562041,FP,120
1621562041,TN,1792
1621562041,FN,1461
1621562042,TP,111
1621562042,FP,110
1621562042,TN,1764
1621562042,FN,1397
1621562043,TP,142
1621562043,FP,154
1621562043,TN,1743
1621562043,FN,1539
1621562044,TN,1680
1621562044,FP,118
1621562044,TP,107
1621562044,FN,1522
1621562045,TP,117
1621562045,FP,111
1621562045,TN,1704
1621562045,FN,1328
1621562046,TN,1786
1621562046,FP,134
1621562046,TP,114
1621562046,FN,1602
1621562047,FP,134
1621562047,TP,137
1621562047,TN,1923
1621562047,FN,1459
1621562048,FP,112
1621562048,TP,131
1621562048,TN,1622
1621562048,FN,1335
1621562049,TN,1864
1621562049,TP,117
1621562049,FP,131
1621562049,FN,1615
1621562050,TN,1609
1621562050,FP,131
1621562050,TP,94
1621562050,FN,1390
1621562051,TN,1810
1621562051,FP,109
1621562051,TP,107
1621562051,FN,1490
1621562052,TN,2009
1621562052,TP,137
1621562052,FP,137
1621562052,FN,1559
1621562053,TN,1588
1621562053,TP,119
1621562053,FP,130
1621562053,FN,1542
1621562054,TN,1739
1621562054,TP,145
1621562054,FP,116
1621562054,FN,1448
1621562055,TN,1732
1621562055,FP,134
1621562055,TP,114
1621562055,FN,1536
1621562056,TN,1767
1621562056,TP,125
1621562056,FP,167
1621562056,FN,1375
1621562057,TN,1579
1621562057,TP,114
1621562057,FP,131
1621562057,FN,1635
1621562058,TN,1776
1621562058,FP,117
1621562058,TP,121
1621562058,FN,1365
1621562059,TN,1812
1621562059,FP,127
1621562059,TP,126
1621562059,FN,1493
1621562060,FN,1308
1621562060,TN,1660
1621562060,FP,118
1621562060,TP,120
1621562061,TN,1578
1621562061,FP,116
1621562061,TP,111
1621562061,FN,1566
1621562062,FN,1647
1621562062,TN,2025
1621562062,FP,146
1621562062,TP,146
1621562063,FN,1514
1621562063,TN,1858
1621562063,FP,120
1621562063,TP,144
1621562064,FN,1310
1621562064,TN,1543
1621562064,FP,109
1621562064,TP,126
1621562065,FN,1561
1621562065,TN,1962
1621562065,FP,114
1621562065,TP,131
1621562066,FN,1467
1621562066,TN,1692
1621562066,FP,129
1621562066,TP,109
1621562067,FN,1484
1621562067,TN,1850
1621562067,FP,147
1621562067,TP,174
1621562068,FN,1427
1621562068,TN,1734
1621562068,FP,98
1621562068,TP,100
1621562069,FN,1607
1621562069,TN,1939
1621562069,TP,118
1621562069,FP,135
1621562070,FN,1400
1621562070,TN,1663
1621562070,FP,122
1621562070,TP,114
1621562071,FN,1592
1621562071,TN,1967
1621562071,FP,112
1621562071,TP,138
1621562072,FN,1543
1621562072,TN,1753
1621562072,FP,133
1621562072,TP,121
1621562073,TP,108
1621562073,FP,139
1621562073,FN,1513
1621562073,TN,1697
1621562074,TN,1868
1621562074,FP,135
1621562074,TP,127
1621562074,FN,1543
1621562075,TN,1603
1621562075,FP,106
1621562075,TP,97
1621562075,FN,1403
1621562076,TN,1940
1621562076,FP,136
1621562076,TP,107
1621562076,FN,1483
1621562077,TN,1599
1621562077,FP,141
1621562077,TP,126
1621562077,FN,1663
1621562078,TN,1999
1621562078,FP,118
1621562078,TP,109
1621562078,FN,1532
1621562079,TN,1950
1621562079,FP,127
1621562079,TP,128
1621562079,FN,1565
1621562080,TN,1471
